reducido,2017 - 03,2017 - 04,2017 - 05,2017 - 06,2017 - 07,2017 - 08,2018 - 01,2018 - 02,2018 - 03,2018 - 04,2018 - 05,2018 - 06,2018 - 07,2018 - 08,2019 - 01,2019 - 02,2019 - 03,2019 - 04,2019 - 05,2019 - 06,2019 - 07,2019 - 08,2020 - 01,2020 - 02,2020 - 03,2020 - 04,2020 - 05,2020 - 06
Big Data en Edu,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Introducción: El futuro de la educación en la era del Big Data,Smart Schools and Universities: Pasos hacia una nueva cultura en instituciones educativas.,Administración y gobernanza educativa en la era digital ,Big data y Business Analyitics,Learning Analytics:  Uso de datos  para mejorar la experiencia de aprendizaje,Introducción: El futuro de la educación en la era del Big Data,Smart Schools and Universities: Pasos hacia una nueva cultura en instituciones educativas.,Administración y gobernanza educativa en la era digital ,Big data y Business Analyitics,Learning Analytics:  Uso de datos  para mejorar la experiencia de aprendizaje,Introducción: El futuro de la educación en la era del Big Data,Smart Schools and Universities: Pasos hacia una nueva cultura en instituciones educativas.
Bio. Nutricion,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Fundamentos de la ciencia de los alimentos,Introducción a los alimentos funcionales,Biotecnología alimentaria,Tópicos selectos de biotecnología,Análisis microbiológico de los alimentos,Fundamentos de la ciencia de los alimentos
Blockchain,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Tecnología Blockchain,Criptoeconomía,Blockchain para empresas,Implicaciones Legales del Blockchain,Contratos inteligentes,Tecnología Blockchain,Criptoeconomía,Blockchain para empresas,Implicaciones Legales del Blockchain
Bus. Analytics,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Business Understanding: Pensamiento analítico basado en datos.,Análisis Exploratorio de Datos,Aprendizaje de Máquina para modelado de datos,Python aplicado a ciencia de datos,Heramientas Analíticas,Business Understanding: Pensamiento analítico basado en datos.,Análisis Exploratorio de Datos,Aprendizaje de Máquina para modelado de datos
Calidad Educativa,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Evaluación de Instituciones Educativos,Evaluación docente,Evaluación curricular,Evaluación del Aprendizaje,Evaluación educativa,Evaluación de Instituciones Educativos,Evaluación docente,Evaluación curricular,Evaluación del Aprendizaje,Evaluación educativa,Evaluación de Instituciones Educativos,Evaluación docente
Ciberjusticia,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Toma de Decisiones,Métodos alternos de resolución de controversias,Sistemas expertos decisionales,Nuevo derecho probatorio documental,Cibertribunales y expedientes electrónicos,LEGALTECH
Ciberseguridad,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Introducción a la Ciberseguridad,Riesgos actuales en Ciberseguridad,Informática Forense ,Seguridad de la Información,Legislación nacional e internacional en  Ciberseguridad,Introducción a la Ciberseguridad,Riesgos actuales en Ciberseguridad,Informática Forense 
Cloud Computing,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Programación en Python,Seguridad Informática en la Nube,Big data y Business Analyitics,Gestión de Bases de Datos Distribuidas,Desarrollo emprendedor de negocios,Programación en Python,Seguridad Informática en la Nube,Big data y Business Analyitics,Gestión de Bases de Datos Distribuidas,Desarrollo emprendedor de negocios,Programación en Python
Coaching de Vida,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Inteligencia Emocional,Fundamentos del Coaching de vida,Corporalidad,"Diseño de una nueva coherencia  (entre cuerpo, emociones y lenguaje)",Comunicación y Negociación Efectiva,Inteligencia Emocional,Fundamentos del Coaching de vida,Corporalidad,"Diseño de una nueva coherencia  (entre cuerpo, emociones y lenguaje)",Comunicación y Negociación Efectiva,Inteligencia Emocional
Coaching Edu.,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,"Persona, formación y trascendencia",Fundamentos de coaching educativo,Evaluación del Aprendizaje,Análisis y solución de casos,Metodologías y enfoques del coaching educativo,"Persona, formación y trascendencia",Fundamentos de coaching educativo,Evaluación del Aprendizaje
Com. Corp.,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Estrategias de negocios,Comunicación corporativa,Planeación de la comunicación desde una perspectiva ética corporativa y responsabilidad social,Comunicación interna y externa,Liderazgo y Motivación,Estrategias de negocios,Comunicación corporativa,Planeación de la comunicación desde una perspectiva ética corporativa y responsabilidad social,Comunicación interna y externa,Liderazgo y Motivación,Estrategias de negocios,Comunicación corporativa
Com. Estra. Respon. Social,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,La responsabilidad social en la organización,La comunicación estratégica,Las relaciones públicas integradas a la RS
Com. Mindfulness,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Una Aproximación al Mindfulness,Comunicación plena
Comp. Dig. Docentes,La Tecnología en la Educación,Nuevas Herramientas para Enseñar,Estrategias de Aprendizaje en Educación a Distancia,Asesor de Entornos Virtuales,Evaluación del Aprendizaje,La Tecnología en la Educación,Nuevas Herramientas para Enseñar,Estrategias de Aprendizaje en Educación a Distancia,Asesor de Entornos Virtuales,Evaluación del Aprendizaje,La Tecnología en la Educación,Nuevas Herramientas para Enseñar,Estrategias de Aprendizaje en Educación a Distancia,Asesor de Entornos Virtuales,Evaluación del Aprendizaje,La Tecnología en la Educación,Nuevas Herramientas para Enseñar,Estrategias de Aprendizaje en Educación a Distancia,Asesor de Entornos Virtuales,Evaluación del Aprendizaje,La Tecnología en la Educación,Nuevas Herramientas para Enseñar,Estrategias de Aprendizaje en Educación a Distancia,Asesor de Entornos Virtuales,Evaluación del Aprendizaje,La Tecnología en la Educación,Nuevas Herramientas para Enseñar,Estrategias de Aprendizaje en Educación a Distancia
Comp. Directivas,Sin clase,Empowerment,Inteligencia Emocional,Coaching,Orientación al Logro,Liderazgo y Motivación,Empowerment,Inteligencia Emocional,Coaching,Orientación al Logro,Liderazgo y Motivación,Empowerment,Inteligencia Emocional,Coaching,Orientación al Logro,Liderazgo y Motivación,Empowerment,Inteligencia Emocional,Coaching,Orientación al Logro,Liderazgo y Motivación,Empowerment,Inteligencia Emocional,Coaching,Orientación al Logro,Liderazgo y Motivación,Empowerment,Inteligencia Emocional
Comp. Doc. S XXI,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Proceso de enseñanza-aprendizaje,Nuevas Herramientas para Enseñar,Habilidades de la comunicación en la docencia actual ,Mindfulness,Creación y Evaluación de Materiales Didácticos ,Proceso de enseñanza-aprendizaje,Nuevas Herramientas para Enseñar,Habilidades de la comunicación en la docencia actual 
Crianza Hijos,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sexualidad,Desarrollo humano,"Alimentación, crecimiento y desarrollo",Neurodesarrollo,Habilidades Sociales y Emocionales,Sexualidad,Desarrollo humano,"Alimentación, crecimiento y desarrollo",Neurodesarrollo,Habilidades Sociales y Emocionales,Sexualidad
Dere. Digital,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,LEGALTECH,Regulación de Datos Personales,Legislación nacional e internacional en  Ciberseguridad,Derecho de las tecnologías,DERECHO DE LAS TELECOMUNICACIONES,LEGALTECH
Dere. Sanitario,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Responsabilidad Médica,Auditoría de Hospitales,Regulación de Productos y Servicios,Regulación de Productos y Servicios,Expediente Clínico,Responsabilidad Médica,Auditoría de Hospitales
Des. Cap. Hum.,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Planeación Estratégica del Capital Humano,Gestión del Cambio,Comportamiento Organizacional,Comunicación y Negociación Efectiva,Trabajo en Equipo,Planeación Estratégica del Capital Humano,Gestión del Cambio,Comportamiento Organizacional,Comunicación y Negociación Efectiva,Trabajo en Equipo,Planeación Estratégica del Capital Humano,Gestión del Cambio,Comportamiento Organizacional,Comunicación y Negociación Efectiva,Trabajo en Equipo
Des. Neg. y Empren.,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Desarrollo emprendedor de negocios,Nuevos modelos de negocios,Negocios digitales,Creativity Workshop: pensamiento lateral aplicado,Métodos de desarrollo de nuevas ideas,Desarrollo emprendedor de negocios,Nuevos modelos de negocios,Negocios digitales,Creativity Workshop: pensamiento lateral aplicado,Métodos de desarrollo de nuevas ideas,Desarrollo emprendedor de negocios,Nuevos modelos de negocios
Des. Videojuegos,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Programación Unity,Game design,REALIDAD VIRTUAL Y AUMENTADA,Negocios digitales,Desarrollo MVP,Programación Unity,Game design,REALIDAD VIRTUAL Y AUMENTADA
Desarrollo Mot.,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Evaluación del Desarrollo Motor,Neurodesarrollo,Psicomotricidad y Grafomotricidad,Parálisis Cerebral,Terapia Ocupacional ,Evaluación del Desarrollo Motor,Neurodesarrollo,Psicomotricidad y Grafomotricidad,Parálisis Cerebral
Design Think,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Marketing Analytics,Big data y Business Analyitics,Sin clase,Sin clase,Emotional & Experiential Business,El Design Thinking bajo un modelo de experiencias,Creativity Workshop: pensamiento lateral aplicado,El diseño experiencial y el prototipo,Evaluación y plan de acción,Emotional & Experiential Business,El Design Thinking bajo un modelo de experiencias,Creativity Workshop: pensamiento lateral aplicado,El diseño experiencial y el prototipo,Evaluación y plan de acción,Emotional & Experiential Business
Diagn. Psicoped.,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Desarrollo humano,Dificultades de aprendizaje en los procesos psicológicos,Proceso de diagnóstico psicopedagógico,Trastornos y dificultades de aprendizaje  en aptitudes académicas,Instrumentos de diagnóstico psicopedagógico,Desarrollo humano,Dificultades de aprendizaje en los procesos psicológicos,Proceso de diagnóstico psicopedagógico,Trastornos y dificultades de aprendizaje  en aptitudes académicas,Instrumentos de diagnóstico psicopedagógico,Desarrollo humano,Dificultades de aprendizaje en los procesos psicológicos,Proceso de diagnóstico psicopedagógico,Trastornos y dificultades de aprendizaje  en aptitudes académicas,Instrumentos de diagnóstico psicopedagógico
Direc. Emp. Fam.,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Estrategias de negocios,Nuevos modelos de negocios,Planeación de la comunicación desde una perspectiva ética corporativa y responsabilidad social,Contabilidad Financiera y Presupuestos,Empresas familiares y gobierno corporativo,Estrategias de negocios,Nuevos modelos de negocios,Planeación de la comunicación desde una perspectiva ética corporativa y responsabilidad social,Contabilidad Financiera y Presupuestos,Empresas familiares y gobierno corporativo,Estrategias de negocios,Nuevos modelos de negocios
Direc. Estrat. Neg,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Mercadotecnia Estratégica,Contabilidad Financiera y Presupuestos,Simulación Estratégica de Proyectos y Negocios,Desarrollo emprendedor de negocios,Toma de Decisiones,Mercadotecnia Estratégica,Contabilidad Financiera y Presupuestos,Simulación Estratégica de Proyectos y Negocios,Desarrollo emprendedor de negocios,Toma de Decisiones,Mercadotecnia Estratégica,Contabilidad Financiera y Presupuestos,Simulación Estratégica de Proyectos y Negocios,Desarrollo emprendedor de negocios,Toma de Decisiones
Direc. Proy.,Liderazgo y Motivación,Gestión de las Adquisiciones,Modelos y Herramientas para la Administración,Administración de Proyectos,Análisis Económico y Modelos de Decisión,Liderazgo y Motivación,Gestión de las Adquisiciones,Modelos y Herramientas para la Administración,Administración de Proyectos,Análisis Económico y Modelos de Decisión,Liderazgo y Motivación,Gestión de las Adquisiciones,Modelos y Herramientas para la Administración,Administración de Proyectos,Análisis Económico y Modelos de Decisión,Liderazgo y Motivación,Gestión de las Adquisiciones,Modelos y Herramientas para la Administración,Administración de Proyectos,Análisis Económico y Modelos de Decisión,Liderazgo y Motivación,Gestión de las Adquisiciones,Modelos y Herramientas para la Administración,Administración de Proyectos,Análisis Económico y Modelos de Decisión,Liderazgo y Motivación,Gestión de las Adquisiciones,Modelos y Herramientas para la Administración
Dis. Multi. No Diseñadores,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,"Tipografía, Forma y Color",Principios de Comunicación Visual
Disc. Formativa,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,"Persona, formación y trascendencia",Sin clase,Estrategias y evaluación de la disciplina formativa,Análisis y solución de casos,Análisis multidisciplinar de problemáticas escolares,"Persona, formación y trascendencia",Bases de la disciplina formativa,Estrategias y evaluación de la disciplina formativa
Diseño Cur. E-learning,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Aspectos generales,Sin clase,Sin clase,Sin clase,Sin clase,Modelos pedagógicos y educación virtual,Diseño multimedia de materiales educativos,Evaluación de programas online
E-Commerce,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Fundamentos de mercadotecnia digital,Data Driven Decisions,Negocios digitales,Implementación del e-commerce,Inteligencia de negocio en el contexto digital,Fundamentos de mercadotecnia digital,Data Driven Decisions,Negocios digitales,Implementación del e-commerce,Inteligencia de negocio en el contexto digital,Fundamentos de mercadotecnia digital,Data Driven Decisions
E. Lectoescritura,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Enseñando lectoescritura,Lenguaje,Creación y Evaluación de Materiales Didácticos ,Proceso de enseñanza-aprendizaje,Psicomotricidad y Grafomotricidad,Enseñando lectoescritura,Lenguaje,Creación y Evaluación de Materiales Didácticos ,Proceso de enseñanza-aprendizaje,Psicomotricidad y Grafomotricidad,Enseñando lectoescritura
Eco. Digital,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Desarrollo emprendedor de negocios,Nuevos modelos de negocios,Contratos inteligentes,TECNOLOGÍAS DISRUPTIVAS,STARTUPS,Desarrollo emprendedor de negocios,Nuevos modelos de negocios
Edu. Preescolar,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Competencias Didácticas,Identidad y Desarrollo Profesional Docente,Legislación Educativa,El niño de Preescolar y su aprendizaje,Currículo de la Educación Preescolar,Competencias Didácticas,Identidad y Desarrollo Profesional Docente,Legislación Educativa,El niño de Preescolar y su aprendizaje,Currículo de la Educación Preescolar
Edu. Primaria,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Competencias Didácticas,Identidad y Desarrollo Profesional Docente,Legislación Educativa,El niño de Primaria y su aprendizaje,Currículo de la Educación Primaria,Competencias Didácticas,Identidad y Desarrollo Profesional Docente,Legislación Educativa,El niño de Primaria y su aprendizaje,Currículo de la Educación Primaria
Educacion,La Tecnología en la Educación,Crecimiento y Desarrollo Humano,Formación Integral ,Estrategias de Enseñanza,Evaluación del Aprendizaje,La Tecnología en la Educación,Crecimiento y Desarrollo Humano,Formación Integral ,Estrategias de Enseñanza,Evaluación del Aprendizaje,La Tecnología en la Educación,Crecimiento y Desarrollo Humano,Formación Integral ,Estrategias de Enseñanza,Evaluación del Aprendizaje,La Tecnología en la Educación,Crecimiento y Desarrollo Humano,Formación Integral ,Estrategias de Enseñanza,Evaluación del Aprendizaje,La Tecnología en la Educación,Crecimiento y Desarrollo Humano,Formación Integral ,Estrategias de Enseñanza,Evaluación del Aprendizaje,La Tecnología en la Educación,Crecimiento y Desarrollo Humano,Formación Integral 
Efect. Cap. Hum.,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Planeación Estratégica del Capital Humano,Gestión del Cambio,"Cultura, Clima y Satisfacción Laboral",Métricas en la Dirección del Capital Humano,Desafíos actuales en la Dirección del Capital Humano,Planeación Estratégica del Capital Humano,Gestión del Cambio,"Cultura, Clima y Satisfacción Laboral",Métricas en la Dirección del Capital Humano,Desafíos actuales en la Dirección del Capital Humano,Planeación Estratégica del Capital Humano,Gestión del Cambio,"Cultura, Clima y Satisfacción Laboral",Métricas en la Dirección del Capital Humano,Desafíos actuales en la Dirección del Capital Humano
Est. Apren. Efec.,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Sin clase,Evaluación del Aprendizaje,Elaboración de programas,Identidad y Desarrollo Profesional Docente,"Persona, formación y trascendencia",Gestión del aprendizaje,Evaluación del Aprendizaje
